;pais;Imunizados;media_vacinacao;vacina_utilizada
146;Luxembourg;1280144;2824;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
147;Malta;1255851;2866;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
148;Macao;1238228;2971;['Pfizer/BioNTech, Sinopharm/Beijing']
149;Liberia;1132502;3450;['Oxford/AstraZeneca']
150;Brunei;1068468;3049;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
151;Central African Republic;1012846;3172;['Covaxin, Oxford/AstraZeneca']
152;Democratic Republic of Congo;964948;2798;['Oxford/AstraZeneca']
153;Maldives;913264;2266;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
154;Lesotho;905438;2387;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing']
155;Guyana;889522;2183;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
156;Namibia;834756;2235;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
157;Congo;818931;2352;['Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V']
158;Yemen;807502;2556;['Johnson&Johnson, Oxford/AstraZeneca, Sinovac']
159;Iceland;805469;1763;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
160;Cape Verde;728077;1951;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
161;Montenegro;668206;1662;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
162;Comoros;637961;1882;['Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing']
163;Northern Cyprus;617389;1906;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
164;South Sudan;575057;1620;['Johnson&Johnson, Oxford/AstraZeneca']
165;Papua New Guinea;574716;1575;['Oxford/AstraZeneca']
166;Guinea-Bissau;562620;1754;['Oxford/AstraZeneca, Sinopharm/Beijing']
167;Gabon;548978;1524;['Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
168;Eswatini;509424;1459;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech']
169;Suriname;504529;1269;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
170;Equatorial Guinea;473409;1246;['Sinopharm/Beijing']
171;Belize;467251;1197;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
172;Chad;419469;1474;['Sinopharm/Beijing']
173;New Caledonia;367883;875;['Pfizer/BioNTech']
174;French Polynesia;367057;872;['Johnson&Johnson, Pfizer/BioNTech']
175;Gambia;363353;968;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing']
176;Solomon Islands;358073;951;['Oxford/AstraZeneca']
177;Bahamas;334155;886;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech']
178;Barbados;312145;773;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
179;Samoa;304893;923;['Oxford/AstraZeneca']
180;Haiti;249801;993;['Johnson&Johnson, Moderna']
181;Curacao;246566;629;['Moderna, Pfizer/BioNTech']
182;Jersey;226090;490;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
183;Sao Tome and Principe;205085;563;['Oxford/AstraZeneca']
184;Seychelles;199466;463;['Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V']
185;Vanuatu;199464;718;['Oxford/AstraZeneca']
186;Isle of Man;189498;431;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
187;Aruba;169231;403;['Pfizer/BioNTech']
188;Djibouti;165554;461;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
189;Andorra;151997;367;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
190;Guernsey;150724;344;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
191;Tonga;147193;462;['Oxford/AstraZeneca']
192;Cayman Islands;141118;312;['Oxford/AstraZeneca, Pfizer/BioNTech']
193;Kiribati;133953;453;['Oxford/AstraZeneca']
194;Bermuda;127090;290;['Oxford/AstraZeneca, Pfizer/BioNTech']
195;Antigua and Barbuda;125386;327;['Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V']
196;Saint Lucia;117740;293;['Oxford/AstraZeneca, Pfizer/BioNTech']
197;Gibraltar;116358;269;['Oxford/AstraZeneca, Pfizer/BioNTech']
198;Faeroe Islands;103894;259;['Moderna, Pfizer/BioNTech']
199;Grenada;87154;214;['Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech']
200;Greenland;79745;191;['Moderna']
201;Liechtenstein;70434;152;['Johnson&Johnson, Moderna, Pfizer/BioNTech']
202;Saint Vincent and the Grenadines;69602;164;['Oxford/AstraZeneca']
203;Turks and Caicos Islands;68670;158;['Pfizer/BioNTech']
204;San Marino;68230;177;['Pfizer/BioNTech, Sputnik V']
205;Monaco;65140;182;['Pfizer/BioNTech']
206;Dominica;62334;154;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
207;Sint Maarten (Dutch part);62043;117;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
208;Saint Kitts and Nevis;60467;166;['Oxford/AstraZeneca, Pfizer/BioNTech']
209;British Virgin Islands;40537;82;['Johnson&Johnson, Oxford/AstraZeneca']
210;Bonaire Sint Eustatius and Saba;35845;196;['Moderna, Pfizer/BioNTech']
211;Cook Islands;29565;87;['Pfizer/BioNTech']
